date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013/04/28,112372696.695,47031.0,1500520000.0,134.21,0.0,3750.0,41.6769215,
2013/04/29,79509642.9775,40035.0,1491160000.0,144.54,0.0,4200.0,31.67685839,
2013/04/30,113413369.116,52266.0,1597780000.0,139.0,0.0,4750.0,37.52034795,
2013/05/01,65884009.9645,46802.0,1542820000.0,116.99,0.0,3600.0,53.99561215,
2013/05/02,82245200.4278,52443.0,1292190000.0,105.21,0.0,3575.0,36.80599998,
2013/05/03,81437491.2584,55169.0,1180070000.0,97.75,0.0,3425.0,54.40791613,
2013/05/04,89427914.8142,55636.0,1089890000.0,112.5,0.0,3650.0,48.52677208,
2013/05/05,49088469.3112,48595.0,1254760000.0,115.91,0.0,3900.0,43.41969441,
2013/05/06,55907226.648,49907.0,1289470000.0,112.3,0.0,3875.0,38.40895622,
2013/05/07,75872779.9523,52523.0,1248470000.0,111.5,0.0,4250.0,51.88924363,
2013/05/08,103510706.039,55899.0,1219450000.0,113.57,0.0,4150.0,43.22493927,
2013/05/09,78666541.7003,47555.0,1259980000.0,112.67,0.0,4125.0,49.5171688,
2013/05/10,67742873.5682,66750.0,1255970000.0,117.2,0.0,4100.0,68.83358453,
2013/05/11,80930005.8474,68957.0,1311050000.0,115.24,0.0,4250.0,61.03773973,
2013/05/12,70109590.4845,71712.0,1288630000.0,115.0,0.0,4475.0,64.7144603,
2013/05/13,56244308.7734,67439.0,1279980000.0,117.98,0.0,4375.0,57.98717092,
2013/05/14,63639029.5366,60443.0,1315720000.0,111.5,0.0,4375.0,58.6645122,
2013/05/15,76669586.7246,65458.0,1242760000.0,114.22,0.0,3850.0,56.3462306,
2013/05/16,78731512.511,65045.0,1274620000.0,118.76,0.0,3575.0,48.99999252,
2013/05/17,77122630.1002,61462.0,1319590000.0,123.02,0.0,3650.0,58.40010175,
2013/05/18,81403371.8129,60388.0,1379140000.0,123.5,0.0,4050.0,88.12669735,
2013/05/19,72939392.687,48290.0,1376370000.0,121.99,0.0,3425.0,37.08573213,
2013/05/20,53520927.3488,50416.0,1368910000.0,122.0,0.0,4150.0,44.69975431,
2013/05/21,54074450.1433,49435.0,1363940000.0,122.88,0.0,3375.0,48.79896181,
2013/05/22,74014574.2894,53176.0,1374130000.0,123.89,0.0,3550.0,45.73742117,
2013/05/23,83833099.2383,52952.0,1384780000.0,126.7,0.0,4150.0,50.66091818,
2013/05/24,80767726.3131,55582.0,1413300000.0,133.2,0.0,4075.0,53.95741269,
2013/05/25,89482238.0201,56521.0,1489950000.0,131.98,0.0,4125.0,43.30824227,
2013/05/26,98224137.8677,54128.0,1478030000.0,133.48,0.0,4225.0,55.02510239,
2013/05/27,46800917.7315,40435.0,1495520000.0,129.75,0.0,4100.0,31.46608906,
2013/05/28,61233958.7815,52244.0,1454310000.0,129.0,0.0,4500.0,47.29502624,
2013/05/29,90406808.1208,55119.0,1446190000.0,132.3,0.0,3850.0,54.58621312,
2013/05/30,87681332.1746,54862.0,1483180000.0,128.8,0.0,4275.0,52.00668912,
2013/05/31,69988263.6902,57928.0,1445050000.0,129.0,0.0,4375.0,47.80279122,
2013/06/01,84464042.9956,56274.0,1445800000.0,129.3,0.0,4500.0,47.48303138,
2013/06/02,54488189.4741,52487.0,1451930000.0,122.29,0.0,5050.0,39.68031578,
2013/06/03,46263259.2114,50171.0,1376180000.0,122.22,0.0,5100.0,49.71934703,
2013/06/04,74093167.1791,52867.0,1357020000.0,121.42,0.0,5300.0,45.44642277,
2013/06/05,76353201.2239,59408.0,1365110000.0,121.65,0.0,5150.0,64.11903339,
2013/06/06,73771490.3004,55162.0,1371300000.0,118.0,0.0,4900.0,60.92765768,
2013/06/07,76885910.0046,55800.0,1338880000.0,111.5,0.0,4550.0,42.94448631,
2013/06/08,70293175.2793,54517.0,1249630000.0,108.3,0.0,4100.0,40.76889109,
2013/06/09,35135524.633,45646.0,1215130000.0,100.0,0.0,4025.0,44.05412068,
2013/06/10,66420402.7826,46443.0,1131570000.0,106.35,0.0,4275.0,38.59999691,
2013/06/11,51422640.8178,43927.0,1198640000.0,108.9,0.0,4550.0,34.07402103,
2013/06/12,56856758.3055,49796.0,1229000000.0,108.15,0.0,4475.0,47.35571901,
2013/06/13,55436782.5152,45093.0,1227030000.0,104.0,0.0,4875.0,41.80132413,
2013/06/14,50836337.8857,44612.0,1173060000.0,99.98,0.0,4850.0,39.61784095,
2013/06/15,70635391.7765,47915.0,1128950000.0,99.99,0.0,4200.0,37.94265331,
2013/06/16,44491746.7613,40041.0,1127120000.0,99.51,0.0,4525.0,36.50098688,
2013/06/17,44227524.277,40072.0,1128720000.0,101.7,0.0,4525.0,29.21024324,
2013/06/18,56007448.6577,43885.0,1152250000.0,107.4,0.0,3875.0,35.6994354,
2013/06/19,63697515.3932,47281.0,1210260000.0,108.25,0.0,3625.0,36.92675947,
2013/06/20,61605447.9422,45754.0,1224210000.0,110.15,0.0,3100.0,35.49768977,
2013/06/21,71594541.4083,51920.0,1259000000.0,109.5,0.0,3775.0,66.63940675,
2013/06/22,76091930.5723,49830.0,1239210000.0,108.3,0.0,4250.0,50.88258598,
2013/06/23,43427619.0817,44645.0,1224980000.0,107.6,0.0,4600.0,49.4188564,
2013/06/24,32080474.3204,37641.0,1222030000.0,102.74,0.0,4125.0,36.92735886,
2013/06/25,53272971.293,42878.0,1156610000.0,103.95,0.0,3550.0,38.58707721,
2013/06/26,73154120.7704,45161.0,1171050000.0,104.0,0.0,3825.0,36.088719,
2013/06/27,58485818.5472,45351.0,1179110000.0,101.44,0.0,4700.0,38.72340514,
2013/06/28,49508909.9448,46332.0,1153880000.0,94.65,0.0,4150.0,32.65156561,
2013/06/29,52492475.1996,48777.0,1074010000.0,94.99,0.0,4275.0,47.75314975,
2013/06/30,52525952.7657,37949.0,1078260000.0,96.61,0.0,3950.0,25.1261887,
2013/07/01,32534082.6196,32088.0,1107130000.0,88.05,0.0,3950.0,30.26636173,
2013/07/02,64418653.4592,36031.0,1000070000.0,90.13,0.0,3950.0,22.29746409,
2013/07/03,58984360.3073,40821.0,1027160000.0,77.53,0.0,3825.0,35.68964129,
2013/07/04,58918973.3014,35507.0,896693000.0,80.53,0.0,4625.0,29.48523635,
2013/07/05,60474420.6982,35434.0,909526000.0,68.43,0.0,4050.0,22.16351472,
2013/07/06,63792103.4277,36450.0,779255000.0,70.28,0.0,4475.0,33.4891456,
2013/07/07,50143364.9525,35431.0,782352000.0,74.56,0.0,4750.0,30.92358948,
2013/07/08,50158280.2719,29566.0,870912000.0,76.52,0.0,4850.0,17.77253004,
2013/07/09,52951515.8294,36817.0,865585000.0,76.69,0.0,4550.0,31.4434201,
2013/07/10,90266007.6661,41049.0,874138000.0,86.76,0.0,4825.0,35.04585076,
2013/07/11,101490088.975,39922.0,1003090000.0,88.98,0.0,4400.0,26.81968763,
2013/07/12,87293523.0284,41158.0,1014640000.0,93.59,0.0,4775.0,34.60590643,
2013/07/13,102286293.592,48827.0,1072140000.0,98.13,0.0,4000.0,30.88380562,
2013/07/14,81225811.1831,39681.0,1126260000.0,94.69,0.0,3800.0,34.09145753,
2013/07/15,59123636.4679,33651.0,1068520000.0,98.4,0.0,4100.0,22.1297315,
2013/07/16,55186568.3122,36473.0,1129260000.0,97.45,0.0,4325.0,23.2125662,
2013/07/17,86840086.5327,39230.0,1104760000.0,98.5,0.0,4100.0,34.64459148,
2013/07/18,92121406.0917,40548.0,1125660000.0,90.58,0.0,4250.0,34.35175156,
2013/07/19,85517579.3839,41363.0,1029670000.0,92.17,0.0,4325.0,27.48021325,
2013/07/20,70976773.3416,37055.0,1052140000.0,89.39,0.0,4225.0,32.10967148,
2013/07/21,46635483.9179,33811.0,1027640000.0,90.76,0.0,4675.0,22.96289992,
2013/07/22,39773632.4025,35263.0,1053000000.0,91.61,0.0,4850.0,24.64534852,
2013/07/23,79041872.0366,38203.0,1048820000.0,95.56,0.0,4400.0,22.77125664,
2013/07/24,90184298.5063,39152.0,1094490000.0,94.51,0.0,3575.0,31.28714746,
2013/07/25,74363957.3215,40214.0,1082800000.0,96.9,0.0,3925.0,33.70948583,
2013/07/26,70732617.3168,42235.0,1111160000.0,96.02,0.0,3425.0,34.44198333,
2013/07/27,75169882.8846,39901.0,1100900000.0,94.12,0.0,4375.0,22.03109172,
2013/07/28,48121446.9754,36626.0,1082750000.0,99.76,0.0,4200.0,31.41478594,
2013/07/29,49592389.5387,33147.0,1131340000.0,101.2,0.0,4425.0,20.28278282,
2013/07/30,80044085.6278,44648.0,1164940000.0,107.99,0.0,4350.0,32.816041,
2013/07/31,98039497.4975,39903.0,1239630000.0,106.09,0.0,4625.0,35.33521807,
2013/08/01,91529661.7485,51580.0,1220190000.0,104.0,0.0,4800.0,45.75584981,
2013/08/02,109890010.774,48467.0,1205070000.0,104.5,0.0,4850.0,32.62343537,
2013/08/03,88596216.0053,50759.0,1201490000.0,104.0,0.0,4600.0,39.86644539,
2013/08/04,69841305.9288,46711.0,1207100000.0,105.14,0.0,4250.0,26.82670848,
