date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2015/08/07,0.0,0.0,0.0,2.77,164329.0,27075.46875,0.0,
2015/08/08,1513208.90806,2016.0,167911000.0,0.753325,674188.0,27437.65625,37.3184135113,
2015/08/09,1180418.47331,2807.0,42637600.0,0.701897,532170.0,27943.4375,68.0999700719,
2015/08/10,825663.034396,1298.0,43130000.0,0.708448,405283.0,27178.28125,14.0989497032,
2015/08/11,1787873.59146,1999.0,42796500.0,1.07,1463100.0,27817.34375,31.1651444384,
2015/08/12,1812411.90978,4945.0,64018400.0,1.22,2150620.0,28027.8125,11.311448586,
2015/08/13,1367895.16921,1993.0,73935400.0,1.83,4068680.0,27370.9375,32.5869924044,
2015/08/14,3271767.97783,2807.0,109594000.0,1.83,4637030.0,28268.125,24.9291691099,
2015/08/15,3879308.86087,3144.0,109160000.0,1.69,2554360.0,31106.71875,14.3548341128,
2015/08/16,7271112.03499,2264.0,102028000.0,1.57,3550790.0,28512.65625,8.83659302805,
2015/08/17,2050304.08408,2422.0,95819700.0,1.2,1942830.0,27094.53125,6.67723792491,
2015/08/18,2446787.8711,2503.0,88143200.0,1.09,1485680.0,28118.90625,7.64281183963,
2015/08/19,1951385.83293,2485.0,84663900.0,1.26,1486240.0,26162.8125,11.9060713402,
2015/08/20,1678378.92958,3224.0,90809000.0,1.46,2843760.0,27282.03125,15.4309506695,
2015/08/21,584281.384554,2266.0,107266000.0,1.4,2020970.0,21057.03125,6.85556694271,
2015/08/22,809852.028877,3888.0,101404000.0,1.38,948310.0,26690.9375,7.85504172471,
2015/08/23,667667.144384,3562.0,99894500.0,1.35,1589300.0,27550.46875,42.5471718296,
2015/08/24,612336.887354,4126.0,97791600.0,1.23,924920.0,26255.625,8.0497676729,
2015/08/25,526887.096134,4423.0,89321900.0,1.14,1307180.0,27333.28125,8.8762854198,
2015/08/26,471487.986079,4449.0,82384400.0,1.16,1056750.0,26736.09375,8.25975582511,
2015/08/27,505295.609432,4112.0,85106100.0,1.15,686662.0,26137.96875,7.44772927856,
2015/08/28,324602.464096,5568.0,83521700.0,1.19,721872.0,24532.8125,8.67096304289,
2015/08/29,354533.511801,4723.0,86887600.0,1.18,375377.0,24225.15625,9.92514837051,
2015/08/30,568054.153631,4109.0,86145900.0,1.32,1337650.0,22525.0,5.50745152606,
2015/08/31,565647.255306,4547.0,96251000.0,1.36,1447180.0,21453.59375,5.63417374243,
2015/09/01,519546.451543,5165.0,98617200.0,1.35,778862.0,21293.4375,7.42453381438,
2015/09/02,1831565.18644,5114.0,98504600.0,1.29,883769.0,20339.21875,7.84376985589,
2015/09/03,349670.170976,5160.0,94418700.0,1.26,702991.0,18391.09375,8.15373533105,
2015/09/04,707105.082813,4738.0,92234100.0,1.27,474391.0,17380.9375,6.9700256741,
2015/09/05,236575.18508,5601.0,93402300.0,1.34,448453.0,23081.875,9.73385636147,
2015/09/06,217718.634927,5471.0,97625500.0,1.3,491968.0,25629.0625,9.1412283236,
2015/09/07,370293.132399,5489.0,94585300.0,1.25,489014.0,26168.28125,8.05548773452,
2015/09/08,251127.566283,5626.0,91020700.0,1.24,427892.0,25460.46875,9.25642239587,
2015/09/09,319059.403552,5604.0,90518300.0,1.21,366748.0,25888.75,10.379926302,
2015/09/10,1340630.50971,5577.0,88230500.0,1.17,662782.0,26431.40625,9.84060106916,
2015/09/11,202492.45637,5328.0,85144300.0,0.982978,1942600.0,26444.21875,7.9258071708,
2015/09/12,755498.495391,6439.0,72179000.0,1.04,772430.0,27238.59375,8.87672815268,
2015/09/13,203706.161934,5555.0,76193600.0,0.936003,644138.0,26402.34375,11.3548331935,
2015/09/14,196109.58291,6017.0,68814400.0,0.875622,741085.0,26171.40625,9.57872567392,
2015/09/15,252560.084483,5542.0,64052400.0,0.94441,703390.0,25588.125,9.9015484194,
2015/09/16,547423.289366,5390.0,68963300.0,0.907175,615593.0,25615.3125,8.42699714528,
2015/09/17,484563.387416,5846.0,66415200.0,0.874231,897940.0,26318.125,15.1466170778,
2015/09/18,252465.093716,5343.0,64071300.0,0.853685,484622.0,25435.625,8.55652379146,
2015/09/19,359844.310551,5733.0,62262700.0,0.882391,386988.0,25894.21875,11.8348210662,
2015/09/20,366689.829326,5154.0,64600000.0,0.938445,508314.0,27187.1875,7.98220437293,
2015/09/21,120920.377034,6341.0,69045900.0,0.919047,424039.0,27982.65625,10.9696454718,
2015/09/22,142222.691554,6244.0,67444200.0,0.901796,487914.0,26651.875,10.1807419409,
2015/09/23,173889.947054,6759.0,66309600.0,0.893406,200541.0,26370.3125,11.4041451759,
2015/09/24,106670.895774,7369.0,65836400.0,0.81361,842505.0,27080.3125,10.7002671048,
2015/09/25,225813.278848,6185.0,60221400.0,0.736223,903457.0,26385.78125,10.3195062665,
2015/09/26,520398.51083,5801.0,54188900.0,0.785964,369620.0,27003.4375,9.83659491613,
2015/09/27,181178.180487,5903.0,58149600.0,0.720839,413801.0,25910.3125,9.28914647862,
2015/09/28,223189.129207,5732.0,53201800.0,0.582886,1320890.0,25011.09375,8.42387045044,
2015/09/29,471898.78982,6102.0,42607700.0,0.661146,913992.0,24714.21875,9.27234660931,
2015/09/30,298572.115577,5715.0,48636600.0,0.738644,619926.0,24364.6875,8.87732842075,
2015/10/01,351843.763432,5834.0,54032300.0,0.690215,596084.0,25097.5,8.38532711572,
2015/10/02,365429.693905,6402.0,50328700.0,0.678574,219318.0,27422.03125,8.76794946345,
2015/10/03,102282.326583,6053.0,49981900.0,0.687171,163326.0,26913.125,9.76529666285,
2015/10/04,82192.9410504,6101.0,50556000.0,0.668379,103497.0,26453.75,9.79164836446,
2015/10/05,174473.163833,6619.0,49131600.0,0.628643,234263.0,25480.15625,9.4319257859,
2015/10/06,106653.546624,6226.0,45863300.0,0.650645,262674.0,26136.875,11.4867735072,
2015/10/07,308741.045358,6440.0,47964700.0,0.609388,218327.0,25036.5625,9.99529995355,
2015/10/08,192853.629211,7100.0,44955900.0,0.621716,310266.0,26133.59375,12.1829899207,
2015/10/09,203924.127397,6912.0,48334900.0,0.650628,386420.0,26778.4375,11.9729333683,
2015/10/10,140796.962524,6751.0,47325200.0,0.627857,141555.0,25451.40625,11.3092183843,
2015/10/11,81585.8122272,6519.0,46327500.0,0.634963,102128.0,25499.6875,11.3828116171,
2015/10/12,95725.607813,6011.0,46864200.0,0.62603,109567.0,26507.03125,8.99879459915,
2015/10/13,164597.900425,6527.0,46395200.0,0.607655,303044.0,26803.75,10.7038073208,
2015/10/14,215046.707127,6765.0,45250600.0,0.522968,971664.0,26668.28125,12.3232487996,
2015/10/15,557670.571018,6772.0,38688300.0,0.561878,371022.0,25875.625,11.8319985211,
2015/10/16,428969.43462,6424.0,41608900.0,0.536495,249891.0,25610.46875,18.8703438617,
2015/10/17,197050.581816,6748.0,39515900.0,0.547178,313860.0,25441.40625,21.1794465456,
2015/10/18,126250.973622,6508.0,40550400.0,0.517734,133690.0,26450.625,12.2914624458,
2015/10/19,89057.7953754,6442.0,38321300.0,0.489014,243742.0,25848.28125,13.1130126021,
2015/10/20,223815.818472,6550.0,36261200.0,0.434829,383921.0,25966.71875,11.6992191396,
2015/10/21,224379.537029,5867.0,31973600.0,0.447329,609085.0,26192.5,11.5270197988,
2015/10/22,395707.711178,6159.0,32977300.0,0.567702,924822.0,26046.40625,10.1558577347,
2015/10/23,334185.628064,5909.0,41986400.0,0.539657,878822.0,25330.78125,13.2005048379,
2015/10/24,435622.539024,6768.0,40022100.0,0.56359,258356.0,27554.84375,13.7479413918,
2015/10/25,61520.8028854,6234.0,41781300.0,0.616039,635384.0,27118.75,10.6966382172,
2015/10/26,191473.769782,5677.0,45991300.0,0.731317,1089120.0,26814.21875,9.07951212616,
2015/10/27,622204.494653,5896.0,52624300.0,0.869641,1846370.0,25912.1875,10.7732671216,
2015/10/28,1893398.6047,6687.0,64676600.0,1.0,2373050.0,27529.375,18.9028975784,
2015/10/29,1185980.45656,7298.0,74675600.0,1.21,2279240.0,26344.6875,10.8986966301,
2015/10/30,538471.746968,7793.0,89857400.0,1.04,2429200.0,27510.78125,12.55075174,
2015/10/31,1108543.47207,7842.0,77800300.0,0.916627,673892.0,27720.15625,13.4663216604,
2015/11/01,293002.959364,7499.0,68477200.0,1.06,588913.0,27751.5625,15.4824256005,
2015/11/02,144037.928399,6890.0,78701400.0,0.989789,1145200.0,28180.15625,16.1702610684,
2015/11/03,355409.228488,6522.0,74010000.0,1.01,1907690.0,27134.21875,10.3960139727,
2015/11/04,535087.603402,7354.0,75232400.0,0.89905,3060340.0,27605.78125,12.2403509899,
2015/11/05,721237.919374,7004.0,67070700.0,0.895637,1179840.0,27716.40625,9.39285695059,
2015/11/06,318719.136206,7440.0,67397100.0,0.926032,913666.0,27291.40625,10.5938905244,
2015/11/07,870604.524605,7828.0,68833200.0,0.927974,890187.0,27422.1875,15.9362701566,
2015/11/08,438746.081185,10863.0,68254300.0,1.03,1021460.0,26715.3125,32.0799197933,
2015/11/09,896041.805681,12342.0,76991800.0,0.999278,2045290.0,27289.0625,29.5268788824,
2015/11/10,884802.065749,7656.0,74685300.0,0.934348,854581.0,27059.53125,11.2631029194,
2015/11/11,705624.557118,8061.0,70236200.0,0.791829,1278580.0,27444.0625,15.3511926283,
2015/11/12,269970.859492,10173.0,59448700.0,0.895711,806156.0,27819.0625,23.0767913282,
2015/11/13,254000.96117,9500.0,67777000.0,0.904096,543671.0,28032.03125,25.8891012018,
2015/11/14,414310.843934,7830.0,67631900.0,0.888812,372514.0,28185.15625,14.5833024649,
2015/11/15,257062.1921,7187.0,66590200.0,0.906368,411848.0,28357.65625,18.5340335117,
2015/11/16,163087.132542,7138.0,67730700.0,0.928962,620945.0,28120.15625,11.4839740926,
2015/11/17,440357.181046,7407.0,69157900.0,1.01,1145440.0,27395.15625,10.2696359731,
2015/11/18,1149523.82674,7115.0,74287700.0,0.993319,681104.0,27793.59375,9.59682965058,
2015/11/19,190160.876984,7330.0,73976100.0,0.955532,443528.0,27252.03125,10.3214753974,
2015/11/20,253830.952929,8834.0,71532500.0,0.92492,614335.0,26563.4375,15.8639395135,
2015/11/21,189932.314881,6328.0,69535300.0,0.97614,455976.0,25130.46875,11.9868992419,
2015/11/22,129805.860552,6780.0,73378800.0,0.968018,372173.0,26782.1875,11.2449100626,
2015/11/23,242455.040896,7053.0,72484200.0,0.946969,441875.0,26988.59375,11.2417153263,
2015/11/24,616263.460861,8205.0,70931100.0,0.900191,524195.0,27272.34375,13.3160847179,
2015/11/25,339922.172203,7107.0,67010200.0,0.863537,622991.0,26848.125,12.9664910272,
2015/11/26,166536.071778,7074.0,64740900.0,0.884183,947473.0,26471.875,12.4596309917,
2015/11/27,842504.943242,7262.0,66174600.0,0.867951,403813.0,26538.4375,9.30701047999,
2015/11/28,621812.730342,6628.0,65147000.0,0.915703,462464.0,27886.875,9.39919261942,
2015/11/29,106043.338921,6801.0,68625100.0,0.878614,448358.0,27201.09375,14.5671305715,
2015/11/30,166186.830731,6830.0,66080400.0,0.873119,784439.0,27350.9375,9.09079211711,
2015/12/01,206120.865967,8966.0,65980000.0,0.8748,652857.0,27360.0,20.8157515377,
2015/12/02,183251.672283,6753.0,65615700.0,0.82121,506307.0,27542.8125,13.0743889446,
2015/12/03,239364.146041,6471.0,61530500.0,0.812143,539969.0,26007.03125,11.4381225322,
2015/12/04,185900.10279,6938.0,61065700.0,0.840041,241278.0,28063.28125,10.666077605,
2015/12/05,144826.733308,6823.0,63276000.0,0.862438,232743.0,26679.375,12.3723423175,
2015/12/06,120270.725139,6724.0,65194900.0,0.8355,443608.0,26581.875,13.0848245148,
2015/12/07,194169.121231,8945.0,62950900.0,0.811264,520409.0,26255.78125,17.1474042232,
2015/12/08,371338.884165,7090.0,60690400.0,0.822118,445903.0,26718.90625,9.64277225226,
2015/12/09,140493.716133,6657.0,62098400.0,0.792167,624221.0,26312.5,9.14620089429,
2015/12/10,205994.991289,6963.0,59945000.0,0.840396,369589.0,28324.0625,10.1369894327,
2015/12/11,201601.634908,7388.0,63312400.0,0.929762,801072.0,27477.34375,11.3409350434,
2015/12/12,311820.06843,8051.0,70210000.0,0.976973,1376280.0,27022.8125,16.8524437878,
2015/12/13,462913.927849,8170.0,73276400.0,0.952884,273614.0,27206.5625,23.1231431759,
2015/12/14,321201.05894,7334.0,72176400.0,0.993022,563436.0,27907.34375,18.7321097127,
2015/12/15,311800.179948,15478.0,74764100.0,1.01,578618.0,26708.59375,74.6524395615,
2015/12/16,530466.361328,21062.0,76791600.0,0.991182,320767.0,27014.53125,114.407858337,
2015/12/17,1372177.31275,10272.0,74999300.0,0.940701,640765.0,26457.34375,44.2167818748,
2015/12/18,404352.336245,9507.0,70890600.0,0.920127,300787.0,26883.125,32.4010752132,
2015/12/19,215493.240879,8920.0,69644200.0,0.908072,343535.0,26671.5625,32.1814214547,
2015/12/20,205972.388847,9304.0,68663100.0,0.903885,472164.0,26694.53125,28.5162309257,
2015/12/21,185104.749759,9852.0,68521200.0,0.900771,549113.0,26436.09375,34.4271700216,
2015/12/22,202398.482075,12003.0,67704600.0,0.864202,454249.0,26457.8125,39.1191939984,
2015/12/23,203914.933768,21004.0,65215800.0,0.858077,334993.0,27374.375,59.162525717,
2015/12/24,123824.039549,22711.0,65060000.0,0.863262,354646.0,27399.375,81.4259907463,
2015/12/25,108429.122464,13480.0,65275400.0,0.870363,187114.0,26686.5625,45.7546378631,
2015/12/26,58633.3700106,9505.0,65961900.0,0.854603,425282.0,26803.59375,26.5940592965,
2015/12/27,124379.591408,10694.0,64650000.0,0.856365,164565.0,26560.15625,31.2961851884,
2015/12/28,67089.4963984,21856.0,64913200.0,0.845005,235134.0,26853.75,86.6343450292,
2015/12/29,385840.610586,12325.0,63985600.0,0.873054,215742.0,27057.96875,36.4004906885,
2015/12/30,261049.746888,11292.0,66314200.0,0.911958,604078.0,26661.09375,33.1892110499,
2015/12/31,200885.9716,21716.0,69207400.0,0.933542,663994.0,26736.25,76.1322840017,
2016/01/01,369299.939419,10257.0,70870900.0,0.948024,206062.0,26908.28125,25.0673246473,
2016/01/02,322883.971884,8206.0,71933100.0,0.937124,255504.0,26070.3125,15.6508949367,
2016/01/03,251956.613314,9140.0,71275900.0,0.971905,407632.0,27383.90625,19.3597908119,
2016/01/04,353940.267394,9248.0,73853900.0,0.95448,346245.0,27675.78125,19.4483166825,
2016/01/05,146441.098451,9425.0,72442400.0,0.950176,219833.0,27420.625,21.3104318963,
2016/01/06,985362.130921,16380.0,72229700.0,0.95086,308791.0,27839.21875,60.3564445043,
2016/01/07,246680.856324,17007.0,72692900.0,0.942005,647462.0,27625.46875,66.5339184502,
2016/01/08,345598.008842,22025.0,71724000.0,0.986789,545600.0,27022.1875,65.5065476024,
2016/01/09,193710.374455,10891.0,75001800.0,0.986833,226281.0,27996.71875,26.0495075445,
2016/01/10,210614.085304,11692.0,75031200.0,0.999231,390888.0,27595.78125,39.3005175209,
2016/01/11,149356.011306,10255.0,76096500.0,1.06,1011920.0,27287.96875,26.3260527733,
2016/01/12,575195.685402,10846.0,81217300.0,1.14,2898760.0,27005.15625,25.5135651128,
2016/01/13,1119216.92321,10824.0,86530000.0,1.13,1005910.0,25900.78125,25.6307222675,
2016/01/14,503638.633746,17634.0,85539300.0,1.19,751961.0,26535.3125,60.3126094436,
2016/01/15,402325.049785,10617.0,90321700.0,1.21,3910550.0,26919.21875,26.776176405,
2016/01/16,1153374.95949,9827.0,93099400.0,1.22,2462630.0,26797.34375,23.1601242178,
2016/01/17,759713.330913,10622.0,93207300.0,1.33,1171150.0,26523.125,22.6502570573,
2016/01/18,530471.610996,9707.0,101699000.0,1.43,4278930.0,26599.84375,17.0397021972,
2016/01/19,3104335.74071,12883.0,108628000.0,1.37,2446740.0,26620.15625,30.9188099799,
2016/01/20,1898308.91263,13383.0,104124000.0,1.53,2933220.0,26092.8125,35.576958228,
2016/01/21,930336.512445,10549.0,117111000.0,1.55,1614960.0,26542.5,19.0134918696,
2016/01/22,742527.131725,10636.0,118244000.0,1.5,1567240.0,25919.21875,20.2959758345,
2016/01/23,1810478.59228,13752.0,115002000.0,1.97,7370980.0,26255.0,31.1813250746,
2016/01/24,2447846.97169,10946.0,145358000.0,2.14,9669770.0,25769.6875,17.4328034106,
2016/01/25,4801648.83389,12715.0,164313000.0,2.5,10739300.0,27239.21875,23.7308825767,
2016/01/26,4878028.27909,17048.0,193838000.0,2.28,13939200.0,25700.78125,40.1912428608,
2016/01/27,3453823.92221,16451.0,172061000.0,2.39,6961080.0,26985.46875,37.8980575476,
2016/01/28,3077775.18452,18660.0,184294000.0,2.53,4903850.0,26104.53125,56.8601467197,
2016/01/29,2295583.7415,16692.0,194815000.0,2.49,6662340.0,26560.9375,41.3560110411,
2016/01/30,2115529.35505,16323.0,192176000.0,2.45,3725080.0,26164.21875,37.4103434275,
2016/01/31,2286923.7944,14594.0,187289000.0,2.31,5847500.0,26193.125,35.4292821681,
2016/02/01,2420235.93163,14092.0,177881000.0,2.21,3994100.0,25681.875,33.8837693668,
2016/02/02,1463886.23621,14122.0,169923000.0,2.44,3451270.0,26431.25,32.5392274162,
2016/02/03,1566748.18091,14242.0,186609000.0,2.53,3987750.0,25864.6875,29.4629278384,
2016/02/04,1600548.61752,14218.0,194126000.0,2.58,3552320.0,27301.71875,27.7291754773,
2016/02/05,838020.764177,14273.0,197363000.0,2.54,2636700.0,26562.34375,32.7175018566,
2016/02/06,1458506.72924,15140.0,194621000.0,2.53,1921240.0,26558.59375,38.9743714932,
2016/02/07,692727.875527,31337.0,194884000.0,2.96,7007060.0,26345.78125,240.782836139,
2016/02/08,2847971.65951,14219.0,228504000.0,3.18,9725690.0,26684.6875,53.1207339074,
2016/02/09,5952257.01902,14598.0,244110000.0,4.04,17954000.0,26651.875,37.8124273589,
2016/02/10,6955574.33804,15453.0,307684000.0,4.44,28640400.0,26474.21875,50.1669254837,
2016/02/11,11639791.6455,17079.0,345964000.0,6.01,26408200.0,26161.25,58.8842443713,
2016/02/12,9972731.36267,21064.0,457618000.0,5.55,23360800.0,26477.8125,46.5235472664,
2016/02/13,11332802.4288,18001.0,437667000.0,5.39,24218800.0,26498.90625,33.065545419,
2016/02/14,6770715.64224,19247.0,416193000.0,5.24,11226500.0,26884.6875,36.1185857096,
2016/02/15,4864253.42393,16571.0,410643000.0,5.29,13934200.0,26329.0625,27.7730442997,
2016/02/16,3163757.42542,17096.0,410605000.0,4.32,15889100.0,26225.3125,30.7253429587,
2016/02/17,4887366.631,17458.0,330635000.0,3.76,15451000.0,26445.78125,33.2945208106,
2016/02/18,3317667.51652,19901.0,291068000.0,4.4,17054000.0,25672.03125,41.0193936772,
2016/02/19,5341623.4926,16895.0,338222000.0,4.74,7666320.0,26214.84375,29.2699233549,
2016/02/20,2144319.45576,17788.0,361281000.0,4.34,8631090.0,26655.46875,37.0360032943,
2016/02/21,5542949.38624,16664.0,336572000.0,4.65,6413550.0,26560.78125,26.7916448964,
2016/02/22,2680930.50592,16981.0,360185000.0,5.62,15056200.0,26536.5625,28.140680308,
2016/02/23,4496981.76277,18096.0,439084000.0,5.59,13380600.0,26757.8125,32.5491110595,
2016/02/24,9673772.90739,18357.0,432977000.0,6.24,11426500.0,26170.0,94.1643662476,
2016/02/25,12777756.7468,19476.0,478149000.0,6.1,21471800.0,26426.875,52.032071341,
2016/02/26,5462614.52186,19412.0,466797000.0,5.92,9526860.0,26823.75,31.6128430903,
2016/02/27,25795550.5448,20374.0,461169000.0,6.43,8903210.0,26654.0625,50.8616404256,
2016/02/28,14057360.6624,18903.0,495545000.0,6.47,9851660.0,26196.09375,28.3747446946,
2016/02/29,4940966.2561,18954.0,499587000.0,6.34,7648020.0,26425.78125,29.3587208003,
2016/03/01,5443068.23292,20146.0,489188000.0,7.65,23098100.0,25229.53125,32.9441902138,
2016/03/02,11042191.5115,21664.0,591078000.0,8.47,29130200.0,26481.09375,33.9508403306,
2016/03/03,33433049.7629,23485.0,653959000.0,9.29,40314900.0,26644.21875,39.0787626379,
2016/03/04,21845813.7174,24751.0,716027000.0,10.41,35520100.0,26111.25,35.3327310901,
2016/03/05,16623027.9623,24159.0,803827000.0,11.0,56439600.0,25881.5625,33.9631795907,
2016/03/06,32589923.3759,26956.0,868736000.0,11.38,39112000.0,26585.9375,33.8981528103,
2016/03/07,15405310.7109,27548.0,886447000.0,9.55,34085100.0,25399.6875,37.6921226264,
2016/03/08,14567892.4991,23178.0,743456000.0,9.85,25524300.0,25985.46875,30.3772576273,
2016/03/09,25549943.0759,23950.0,760017000.0,11.9,27540500.0,25823.125,33.3474639412,
2016/03/10,12710297.6751,24374.0,922452000.0,11.3,26851500.0,25740.78125,26.064171433,
2016/03/11,9499167.25837,24727.0,871511000.0,11.08,21002700.0,26630.0,20.3466620474,
2016/03/12,12725293.6741,23042.0,864733000.0,13.53,48957300.0,26302.5,19.2479047956,
2016/03/13,22099353.2116,27799.0,1049930000.0,14.47,43915100.0,26370.15625,24.2939252773,
2016/03/14,24684843.4814,28014.0,1128180000.0,12.45,58385100.0,27250.46875,25.6417147769,
2016/03/15,21239715.2142,28359.0,1011090000.0,13.01,28404500.0,26407.96875,27.7887085331,
2016/03/16,16224926.3124,29149.0,1013020000.0,12.52,24335500.0,31223.59375,24.0129653977,
2016/03/17,12352137.9202,27458.0,977389000.0,11.08,41650600.0,31490.15625,23.8727859454,
2016/03/18,19184486.774,33445.0,867949000.0,11.0,53956800.0,32024.53125,31.6680980213,
2016/03/19,24806583.0556,31727.0,875689000.0,10.53,26735700.0,31282.8125,27.4326886832,
2016/03/20,8175083.63709,34712.0,822297000.0,10.32,17651100.0,32079.0625,44.2853796416,
2016/03/21,6590494.64813,32304.0,805997000.0,11.86,28572600.0,31587.65625,35.7288538516,
2016/03/22,10047250.6722,32327.0,929610000.0,11.27,19730300.0,31394.21875,32.4623890738,
2016/03/23,8514187.36905,32812.0,887595000.0,12.42,19353200.0,31711.875,26.1394891028,
2016/03/24,6437917.69073,31562.0,975295000.0,11.23,26081800.0,31294.0625,32.6582983315,
2016/03/25,10248294.6005,36705.0,883012000.0,10.74,13782000.0,32071.09375,41.4097826339,
2016/03/26,6080538.87997,36665.0,844742000.0,10.97,9425480.0,31889.84375,40.3548918251,
2016/03/27,3474899.21118,36537.0,862211000.0,10.42,16744800.0,31928.4375,35.0564205112,
2016/03/28,13693092.1586,29895.0,819007000.0,11.67,23188300.0,31630.78125,19.2099077568,
2016/03/29,9250377.55034,33508.0,923114000.0,11.66,17684200.0,31313.4375,26.3821260856,
2016/03/30,15451180.1932,33803.0,911902000.0,11.95,19351200.0,31437.8125,23.9127898866,
2016/03/31,15571898.0385,36649.0,936992000.0,11.4,14966700.0,31700.46875,37.3774814231,
2016/04/01,10472175.541,31397.0,896537000.0,11.66,11373100.0,31388.90625,25.0216632981,
2016/04/02,4438838.23219,33194.0,914995000.0,11.6,8682620.0,31884.6875,24.2374098938,
2016/04/03,4370357.5857,29155.0,915175000.0,11.62,5580550.0,31081.25,18.065663951,
2016/04/04,2435523.81066,29479.0,914560000.0,11.16,9599070.0,31729.6875,17.9368728686,
2016/04/05,4586169.50041,34797.0,883170000.0,10.44,20557300.0,31953.125,24.8694159203,
