Date,Open,High,Low,Close,Volume,Market Cap
"Sep 05, 2017",20.87,23.62,18.91,21.53,"349,885","26,115,800"
"Sep 04, 2017",26.91,27.34,17.99,20.74,"716,231","33,673,500"
"Sep 03, 2017",27.70,29.36,24.99,26.90,"493,926","34,662,300"
"Sep 02, 2017",32.49,33.01,26.79,27.24,"633,861","40,658,600"
"Sep 01, 2017",35.67,35.90,31.35,32.45,"1,024,920","44,636,600"
"Aug 31, 2017",35.78,36.60,34.27,35.62,"452,411","44,776,600"
"Aug 30, 2017",34.89,38.40,34.61,35.84,"549,569","43,694,000"
"Aug 29, 2017",36.12,36.84,34.43,34.92,"489,247","45,236,000"
"Aug 28, 2017",35.56,36.20,34.11,36.07,"402,594","44,537,800"
"Aug 27, 2017",35.16,36.33,34.05,35.53,"372,296","44,033,500"
"Aug 26, 2017",35.31,37.01,33.54,34.93,"363,769","44,220,200"
"Aug 25, 2017",35.51,37.67,32.94,35.24,"845,188","44,468,400"
"Aug 24, 2017",35.60,37.29,34.84,35.39,"466,415","44,577,800"
"Aug 23, 2017",35.53,38.34,34.85,36.49,"443,443","44,506,600"
"Aug 22, 2017",34.75,37.23,31.91,35.61,"561,611","43,526,300"
"Aug 21, 2017",42.41,48.73,33.48,34.58,"2,145,180","53,121,100"
"Aug 20, 2017",34.73,43.36,32.52,42.53,"1,894,140","43,499,200"
"Aug 19, 2017",35.56,37.01,31.60,34.84,"582,704","44,542,600"
"Aug 18, 2017",34.17,39.43,31.88,35.03,"1,612,640","42,797,100"
"Aug 17, 2017",33.79,36.14,31.85,33.92,"739,864","42,325,000"
"Aug 16, 2017",31.27,37.92,30.37,33.62,"864,797","39,176,900"
"Aug 15, 2017",34.85,36.10,30.67,31.23,"763,238","43,659,400"
"Aug 14, 2017",36.80,38.09,32.76,34.65,"763,860","46,104,500"
"Aug 13, 2017",43.83,46.78,33.13,36.78,"1,431,600","54,913,000"
"Aug 12, 2017",34.64,47.85,32.80,43.37,"2,680,510","43,392,300"
"Aug 11, 2017",26.46,41.47,26.06,33.64,"3,202,390","33,143,700"
"Aug 10, 2017",28.84,29.21,26.46,26.46,"748,370","36,136,200"
"Aug 09, 2017",27.96,33.04,26.79,29.24,"1,128,830","35,034,100"
"Aug 08, 2017",27.86,28.34,25.22,27.97,"521,900","34,067,900"
"Aug 07, 2017",28.32,30.01,26.70,27.93,"456,117","34,625,700"
