Date,Open,High,Low,Close,Volume,Market Cap
"Sep 05, 2017",11.07,12.07,8.77,11.71,"218,917,000","653,177,000"
"Sep 04, 2017",15.29,15.44,10.22,10.98,"161,203,000","902,407,000"
"Sep 03, 2017",16.41,16.74,14.19,15.29,"98,105,400","967,971,000"
"Sep 02, 2017",18.26,19.06,15.51,16.39,"123,479,000","1,077,370,000"
"Sep 01, 2017",17.30,18.47,16.94,18.26,"73,618,500","1,020,980,000"
"Aug 31, 2017",16.72,18.08,16.69,17.30,"76,872,500","986,295,000"
"Aug 30, 2017",19.05,19.05,14.58,16.84,"145,512,000","1,124,200,000"
"Aug 29, 2017",16.28,20.04,16.28,19.15,"216,784,000","960,486,000"
"Aug 28, 2017",15.66,16.35,14.86,16.24,"82,850,200","923,722,000"
"Aug 27, 2017",15.42,15.86,14.74,15.70,"56,474,400","909,788,000"
"Aug 26, 2017",13.26,15.89,12.97,15.41,"88,172,500","782,374,000"
"Aug 25, 2017",13.75,13.85,12.85,13.32,"26,327,100","811,035,000"
"Aug 24, 2017",11.87,14.13,11.64,13.78,"72,955,500","700,167,000"
"Aug 23, 2017",11.05,12.47,11.04,11.90,"36,722,000","651,839,000"
"Aug 22, 2017",11.20,11.41,10.17,11.06,"25,086,300","660,585,000"
"Aug 21, 2017",11.80,11.87,10.82,11.23,"29,380,800","696,434,000"
"Aug 20, 2017",11.54,12.35,10.82,11.79,"40,638,800","680,885,000"
"Aug 19, 2017",11.62,12.36,9.69,11.64,"54,327,300","685,316,000"
"Aug 18, 2017",13.09,13.09,11.00,11.63,"43,226,400","772,302,000"
"Aug 17, 2017",14.36,14.37,12.82,13.06,"50,489,100","847,017,000"
"Aug 16, 2017",14.67,15.42,14.15,14.35,"59,126,000","865,463,000"
"Aug 15, 2017",15.01,15.30,13.83,14.68,"62,353,100","885,415,000"
"Aug 14, 2017",15.10,17.16,14.36,15.06,"103,750,000","890,836,000"
"Aug 13, 2017",13.92,15.84,12.79,15.17,"75,650,500","821,280,000"
"Aug 12, 2017",14.73,15.47,12.85,13.90,"59,321,200","868,962,000"
"Aug 11, 2017",15.63,16.36,14.33,14.73,"91,215,900","922,433,000"
"Aug 10, 2017",12.55,16.99,12.42,15.77,"133,259,000","740,715,000"
"Aug 09, 2017",11.49,12.63,11.07,12.55,"52,016,000","677,866,000"
"Aug 08, 2017",12.64,12.74,10.84,11.50,"63,155,600","746,010,000"
"Aug 07, 2017",10.03,12.84,9.88,12.65,"95,630,200","591,790,000"
