date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,drop_this
2015/04/01,57447.126198,533.0,3604110.0,0.000242,65525.0,0.0,23721.286752,
2015/04/02,119242.636052,719.0,2179320.0,0.000314,28549.0,0.0,30939.690282,
2015/04/03,93423.14535,1369.0,2778750.0,0.00031,20678.0,0.0,22879.028267,
2015/04/04,30790.859903,5945.0,2792120.0,0.000277,23550.0,0.0,66917.666269,
2015/04/05,22810.135136,4555.0,2443720.0,0.000232,26800.0,0.0,51790.913658,
2015/04/06,45817.89816,6673.0,2088380.0,0.000289,22512.0,0.0,73372.754782,
2015/04/07,33427.551935,3975.0,2596140.0,0.000241,14437.0,0.0,45762.435994,
2015/04/08,24637.028376,7741.0,2209250.0,0.000228,6933.0,0.0,82321.440551,
2015/04/09,22151.81024,9372.0,2048560.0,0.000224,10014.0,0.0,100584.23669,
2015/04/10,6733.288975,1961.0,2017780.0,0.000175,16846.0,0.0,18395.571264,
2015/04/11,12720.419266,23680.0,1571870.0,0.000163,22846.0,0.0,60913.545202,
2015/04/12,19738.151574,11845.0,1469950.0,0.000146,5569.0,0.0,42793.94626,
2015/04/13,5982.234601,23852.0,1316600.0,0.000139,11803.0,0.0,57546.537305,
2015/04/14,12542.182956,26883.0,1254160.0,0.000153,14654.0,0.0,149155.568054,
2015/04/15,15817.447285,29089.0,1399610.0,0.000155,8196.0,0.0,79295.608966,
2015/04/16,11541.327959,15755.0,1391420.0,0.000163,5317.0,0.0,49411.202844,
2015/04/17,8300.55464,9597.0,1507870.0,0.000167,4556.0,0.0,65798.258322,
2015/04/18,6160.393776,17148.0,1503010.0,0.000141,9117.0,0.0,51377.901307,
2015/04/19,10586.943381,5960.0,1269820.0,0.000147,7193.0,0.0,31208.997764,
2015/04/20,8679.541297,12612.0,1324160.0,0.000133,6681.0,0.0,43449.515713,
2015/04/21,10579.510585,16081.0,1194180.0,0.000137,3912.0,0.0,51963.301024,
2015/04/22,6631.696122,13488.0,1233120.0,0.000138,2353.0,0.0,44430.386702,
2015/04/23,7884.182449,4586.0,1244580.0,0.000137,2117.0,0.0,24438.965281,
2015/04/24,8528.12685,8635.0,1234000.0,0.00015,3058.0,0.0,36023.60195,
2015/04/25,17824.00326,2146.0,1345350.0,0.00014,2480.0,0.0,20010.935988,
2015/04/26,7576.405024,1534.0,1263860.0,0.000134,2074.0,0.0,19096.272197,
2015/04/27,8328.95933,1514.0,1205740.0,0.000163,6660.0,0.0,19441.907226,
2015/04/28,11365.304439,4897.0,1442520.0,0.000149,3358.0,0.0,28300.527184,
2015/04/29,11301.202563,8180.0,1337590.0,0.000147,2013.0,0.0,33391.801465,
2015/04/30,10303.107416,1783.0,1323030.0,0.000157,959.0,0.0,17980.641932,
2015/05/01,1181.675508,10926.0,1412990.0,0.000156,692.0,0.0,31663.386858,
2015/05/02,2595.14919,1474.0,1381060.0,0.000155,1543.0,0.0,16091.325719,
2015/05/03,1122.736456,1468.0,1395620.0,0.000149,4417.0,0.0,15407.883896,
2015/05/04,3515.018317,1495.0,1340690.0,0.000151,2595.0,0.0,17001.201942,
2015/05/05,4265.92539,1495.0,1355840.0,0.000141,3974.0,0.0,17167.159173,
2015/05/06,3430.740027,5546.0,1270090.0,0.000143,1125.0,0.0,31727.993137,
2015/05/07,2888.75262,1486.0,1281970.0,0.000156,2475.0,0.0,16055.636344,
2015/05/08,7033.24063,1579.0,1407390.0,0.000155,1043.0,0.0,17445.613231,
2015/05/09,5914.4001,1501.0,1396760.0,0.00015,623.0,0.0,18371.782755,
2015/05/10,3882.874249,1468.0,1349300.0,0.000151,1774.0,0.0,16533.712372,
2015/05/11,6031.369765,7142.0,1362660.0,0.000155,3367.0,0.0,27308.048408,
2015/05/12,4547.07858,2056.0,1394760.0,0.000165,4765.0,0.0,15915.953815,
2015/05/13,4643.315796,1496.0,1483990.0,0.000159,4187.0,0.0,17823.736102,
2015/05/14,4514.2936,1495.0,1427580.0,0.00016,1647.0,0.0,17363.888004,
2015/05/15,2874.611188,1416.0,1439930.0,0.000164,1260.0,0.0,16443.544478,
2015/05/16,567.279648,775.0,1474940.0,0.000156,4958.0,0.0,8377.453318,
2015/05/17,10195.6584,1515.0,1399200.0,0.00016,1049.0,0.0,19779.813576,
2015/05/18,1180.901865,1020.0,1437570.0,0.000169,12653.0,0.0,11283.169529,
2015/05/19,6177.422538,1341.0,1493820.0,0.000171,9163.0,0.0,16477.614775,
2015/05/20,19470.709084,1551.0,1536820.0,0.000172,8928.0,0.0,24312.134724,
2015/05/21,12451.577252,1492.0,1545760.0,0.000172,7586.0,0.0,19552.920028,
2015/05/22,12124.055907,1519.0,1549800.0,0.000177,4136.0,0.0,20162.280401,
2015/05/23,7170.861003,1228.0,1596980.0,0.000177,4560.0,0.0,15380.42309,
2015/05/24,8119.876128,992.0,1594140.0,0.000182,5675.0,0.0,14517.943241,
2015/05/25,22404.560248,1156.0,1638490.0,0.000178,6871.0,0.0,15440.555611,
2015/05/26,9738.74211,1482.0,1599720.0,0.000183,3845.0,0.0,19616.188115,
2015/05/27,3932.208256,1474.0,1645670.0,0.000197,8659.0,0.0,17263.596004,
2015/05/28,13650.55034,1507.0,1753140.0,0.000196,7217.0,0.0,19200.394968,
2015/05/29,10367.001423,1193.0,1762160.0,0.000183,7999.0,0.0,15368.900657,
2015/05/30,8246.213125,1409.0,1650510.0,0.000185,7228.0,0.0,19263.412991,
2015/05/31,5509.787334,861.0,1667200.0,0.000177,4684.0,0.0,11192.213866,
2015/06/01,6561.2333,1353.0,1590560.0,0.00017,3525.0,0.0,16468.960802,
2015/06/02,513.69465,1387.0,1530820.0,0.000178,5642.0,0.0,14415.273995,
2015/06/03,3369.44457,1474.0,1604330.0,0.000177,1820.0,0.0,16731.234563,
2015/06/04,8487.427032,1484.0,1595180.0,0.000172,2220.0,0.0,17016.727355,
2015/06/05,2855.148808,1472.0,1546270.0,0.000179,4105.0,0.0,16392.258281,
2015/06/06,2171.33452,1462.0,1611430.0,0.00017,3364.0,0.0,15626.607398,
2015/06/07,3875.546304,1490.0,1529050.0,0.000168,3360.0,0.0,16067.379246,
2015/06/08,3597.299127,1485.0,1510060.0,0.000171,3110.0,0.0,17013.028629,
2015/06/09,930.534164,1219.0,1541750.0,0.000148,8723.0,0.0,12884.977757,
2015/06/10,8595.335286,912.0,1344300.0,0.000153,4577.0,0.0,11866.187717,
2015/06/11,1526.46312,1516.0,1379440.0,0.000148,4653.0,0.0,16804.332763,
2015/06/12,1803.894152,1612.0,1333110.0,0.000148,3589.0,0.0,17549.144604,
2015/06/13,4346.9874,1412.0,1332020.0,0.000155,2980.0,0.0,15878.65612,
2015/06/14,6717.30568,1407.0,1399050.0,0.000155,2903.0,0.0,16303.631597,
2015/06/15,2504.920425,968.0,1396540.0,0.000147,9550.0,0.0,11091.287141,
2015/06/16,6976.51056,1494.0,1326840.0,0.00016,6374.0,0.0,17928.017632,
2015/06/17,8573.07792,1416.0,1443470.0,0.00016,8668.0,0.0,15491.80994,
2015/06/18,3391.094552,1453.0,1444400.0,0.000172,3683.0,0.0,16672.259669,
2015/06/19,1042.10158,1435.0,1554080.0,0.000155,6743.0,0.0,15157.811541,
2015/06/20,4444.29905,1425.0,1391420.0,0.000158,1488.0,0.0,15654.660438,
2015/06/21,921.526648,529.0,1420970.0,0.000161,616.0,0.0,11221.44289,
2015/06/22,1807.502736,514.0,1448390.0,0.000156,4900.0,0.0,16122.466674,
2015/06/23,1055.782228,503.0,1406300.0,0.000158,2518.0,0.0,15332.331841,
2015/06/24,1881.785724,430.0,1419880.0,0.000156,1656.0,0.0,13542.496485,
2015/06/25,5362.650062,292.0,1404230.0,0.000154,2791.0,0.0,9339.630814,
2015/06/26,7950.595668,487.0,1389110.0,0.000148,3547.0,0.0,16408.949168,
2015/06/27,6788.774514,394.0,1335410.0,0.000157,4043.0,0.0,14529.673886,
2015/06/28,3919.56776,510.0,1409620.0,0.000152,1838.0,0.0,17082.507999,
2015/06/29,1668.45795,512.0,1366110.0,0.00015,2007.0,0.0,16144.613706,
2015/06/30,1151.172057,494.0,1346030.0,0.000161,5197.0,0.0,14918.657866,
2015/07/01,924.552344,443.0,1453660.0,0.000142,2224.0,0.0,13890.232821,
2015/07/02,1716.994565,509.0,1279500.0,0.000143,1323.0,0.0,16668.801842,
2015/07/03,5247.89265,512.0,1290670.0,0.000143,3873.0,0.0,17166.292235,
2015/07/04,2695.484169,487.0,1292130.0,0.000141,1575.0,0.0,15533.848012,
2015/07/05,1629.013806,513.0,1268850.0,0.000129,3717.0,0.0,16260.085333,
2015/07/06,3205.49733,526.0,1155430.0,0.000126,521.0,0.0,16919.957132,
2015/07/07,1939.651982,500.0,1133560.0,0.000142,3977.0,0.0,15730.946132,
2015/07/08,7808.988474,413.0,1280690.0,0.000161,2407.0,0.0,13299.24,
2015/07/09,2379.764304,335.0,1446360.0,0.000144,1678.0,0.0,11280.352789,
2015/07/10,950.37862,439.0,1296490.0,0.000149,3166.0,0.0,13324.152529,
2015/07/11,1422.324232,481.0,1303490.0,0.000161,5422.0,0.0,14875.462584,
2015/07/12,2844.988836,573.0,1453080.0,0.000157,3108.0,0.0,17094.447224,
2015/07/13,3170.503373,513.0,1417480.0,0.000157,3229.0,0.0,16755.845403,
2015/07/14,4668.936182,502.0,1413370.0,0.000158,970.0,0.0,15016.55194,
2015/07/15,1199.37276,469.0,1420690.0,0.000148,746.0,0.0,14130.815493,
2015/07/16,393.832314,482.0,1333850.0,0.000142,1869.0,0.0,14849.845709,
2015/07/17,1194.609884,490.0,1279530.0,0.000149,191.0,0.0,14966.552072,
2015/07/18,606.262664,494.0,1337300.0,0.000146,783.0,0.0,15422.036922,
2015/07/19,448.654304,499.0,1310970.0,0.000148,898.0,0.0,15124.998444,
2015/07/20,523.996495,504.0,1297720.0,0.000149,4446.0,0.0,15325.695533,
2015/07/21,13409.025987,489.0,1336880.0,0.000149,2177.0,0.0,16817.602116,
2015/07/22,1906.144526,404.0,1337450.0,0.000142,1237.0,0.0,12218.804688,
2015/07/23,3483.723228,274.0,1280660.0,0.000146,2965.0,0.0,9411.735131,
2015/07/24,1807.157964,503.0,1313850.0,0.000177,20017.0,0.0,16032.827374,
2015/07/25,9614.73232,563.0,1582230.0,0.000184,6331.0,0.0,21035.622516,
2015/07/26,2787.690341,534.0,1638760.0,0.000173,3001.0,0.0,17045.035619,
2015/07/27,4165.707381,534.0,1556100.0,0.000163,4905.0,0.0,17477.185799,
2015/07/28,5979.566898,508.0,1467380.0,0.000174,3019.0,0.0,16888.51389,
2015/07/29,2767.371362,523.0,1562880.0,0.000161,1294.0,0.0,17935.396741,
2015/07/30,992.645638,500.0,1451930.0,0.000166,1904.0,0.0,14714.790779,
2015/07/31,4593.367596,526.0,1496260.0,0.000164,798.0,0.0,15905.589758,
2015/08/01,337.460668,486.0,1473700.0,0.000164,1445.0,0.0,14532.0,
2015/08/02,1233.057364,495.0,1465340.0,0.000154,2565.0,0.0,15480.557146,
2015/08/03,3368.157408,504.0,1382850.0,0.000154,2002.0,0.0,16526.179903,
2015/08/04,1315.433768,492.0,1386140.0,0.000148,2833.0,0.0,15856.537045,
2015/08/05,1652.163812,396.0,1334650.0,0.000148,4230.0,0.0,12940.32744,
2015/08/06,5100.584619,500.0,1331060.0,0.000141,952.0,0.0,16743.444724,
2015/08/07,2078.9723,377.0,1266520.0,0.000145,1811.0,0.0,11766.977967,
2015/08/08,812.141136,15.0,1304060.0,0.000136,3307.0,0.0,801.282901,
2015/08/09,2287.26966,188.0,1223400.0,0.00013,8393.0,0.0,6904.618276,
2015/08/10,7884.88182,522.0,1165610.0,0.000135,1268.0,0.0,18814.407713,
2015/08/11,3303.389385,552.0,1218210.0,0.000135,3006.0,0.0,19019.685146,
2015/08/12,1569.407049,512.0,1213900.0,0.000133,5295.0,0.0,15795.702934,
2015/08/13,3039.343284,508.0,1151620.0,0.000123,3420.0,0.0,16394.827687,
2015/08/14,2045.137765,527.0,1110840.0,0.000121,1770.0,0.0,16076.013525,
2015/08/15,1728.219269,495.0,1086420.0,0.000119,2058.0,0.0,15727.395931,
2015/08/16,44011.711662,474.0,1075770.0,0.000123,2245.0,0.0,14918.852817,
2015/08/17,746.883627,339.0,1102690.0,0.000119,1511.0,0.0,9621.367062,
2015/08/18,1519.558848,512.0,1068820.0,9.2e-05,2207.0,0.0,15587.152707,
2015/08/19,945.3629,464.0,886954.0,0.0001,713.0,0.0,14288.072302,
2015/08/20,8148.714172,506.0,903222.0,0.000106,148.0,0.0,16591.721774,
2015/08/21,455.968944,470.0,954297.0,0.000101,651.0,0.0,14477.914076,
2015/08/22,200.521865,488.0,911403.0,0.000101,481.0,0.0,14529.950116,
2015/08/23,997.778474,506.0,911169.0,9.8e-05,111.0,0.0,15543.300467,
2015/08/24,535.577328,490.0,883014.0,9.3e-05,1331.0,0.0,14900.851212,
2015/08/25,1103.526888,509.0,833526.0,8.6e-05,1988.0,0.0,15826.934955,
2015/08/26,1591.92999,515.0,776234.0,9e-05,1348.0,0.0,17040.92071,
2015/08/27,970.966314,524.0,810572.0,9.7e-05,833.0,0.0,16346.348539,
